run_at,target_date,ga4_device,ga4_funnel,clarity_daily,snapshot,rows_added,notes
2026-07-27 09:00,2026-07-25,ok,ok,ok,ok,897,"Initial build. 60d GA4 backfill (27 May-25 Jul), Clarity 19-25 Jul, full deep-dive snapshot."
2026-07-27 18:30,2026-07-25,skipped,skipped,ok,skipped,21,"Manual run. GA4 already current through T-2. Clarity backfilled 12-18 Jul, doubling coverage to 14 days and enabling week-over-week behaviour comparison."
2026-07-28 09:15,2026-07-26,ok,ok,ok,ok,19,"Added 26 Jul. Also added homepage journey funnel + Clarity heatmap-vs-funnel data to snapshot (findings F9/F10)."
2026-07-29 15:57,2026-07-27,skipped,ok,ok,skipped,15,"GA4 device for 07-27 was already loaded from a prior manual pull; added GA4 funnel (12 rows) + Clarity (3 rows). Deep-dive 7d snapshot (latest.json) not refreshed this run -- daily numbers only."
2026-07-30 11:42,2026-07-28,ok,ok,ok,skipped,18,"Added 28 Jul (GA4 device+funnel, Clarity after 2 timeouts/1 retry). Also closed out T19: cro_vitals median-of-3 on home/PLP/cart both devices -- all clean/good, desktop PLP CLS 0.154 dismissed as noise (0.004-0.005 actual), T5 closed. Refreshed homepage heatmap (mobile+desktop) with live Clarity click data (21-27 Jul) replacing stale hardcoded 19-25 Jul figures in capture.js. Deep-dive 7d snapshot still not refreshed."
2026-07-31 10:42,2026-07-29,ok,ok,ok,skipped,27,"Added 29 Jul across all daily sources: GA4 device+funnel, Clarity (first try), and daily_pagetype.csv (6 reference pages x up to 2 devices, 11 rows -- all-rings desktop had 0 sessions that day). Deep-dive 7d snapshot still not refreshed."
2026-08-03 09:57,2026-08-01,ok,ok,ok,skipped,52,"Caught up 3 missing days (30-31 Jul, 1 Aug) across all sources. CRITICAL: GA4 engaged-sessions/bounce collapsed to near-zero on 1 Aug SITEWIDE across every page+device (e.g. homepage mobile engagement 62% -> 0.5%, bounce 38% -> 99.5%) while funnel events (view_item/add_to_cart/purchase) and Clarity behavioural data stayed completely normal that day -- confirms a GA4/GTM tracking-pipeline defect, not a real traffic collapse. Live console check (30 Jul) reproduced an intermittent Skipped GTM->GA4: Missing data for pageView warning plus a Clarity project-settings data-collection warning and a Meta Pixel invalid-currency warning on the same page load. Opened as new critical finding, needs 2-3 more days of data to confirm if it persists."
2026-08-04 11:15,2026-08-03,ok,ok,ok,skipped,66,"Caught up 2 missing days (2-3 Aug) across GA4 device+funnel+pagetype and Clarity, specifically to check Clarity and the checkout journey (cart/shipping/payment) after a deployment the client reported shipped 3 Aug. CRITICAL: F12/T22 GA4 engagement/bounce tracking break recurred sitewide on 3 Aug (day after deployment) after being completely normal on 2 Aug -- identical pattern to 1 Aug, confirmed via funnel events + Clarity staying normal both days. Live console check this morning reproduced Skipped GTM->GA4: Missing data for: pageView on 3/3 reloads (up from 1/3 on 3 Aug) -- still live, not resolved. Also reproduced a Clarity 'not collecting this session' warning on every load (T23 opened, needs_investigation -- may be a synthetic-session artifact, Clarity daily aggregates stayed normal). Deployment added a new coupon/offer module to the cart page (Apply Coupon, free-pendant claim banner, WhatsApp/Call dock) -- confirmed live via checkout-gate.js + Clarity clicks; F1 login wall unchanged. Pulled Shopify orders 2-3 Aug: partial-COD confirmed working as designed (6/16 orders, 37.5%); found a staff to-do note left as a live discount code on order #2480 (F15). Updated insights.html, action_plan.html (T22 escalated, T23 added), data/latest.json (F12 updated, F13/F14/F15 added), page-cart-checkout.html (deployment-check section + DATA array extended), interactive.html rebuilt twice (data then findings). Deep-dive 7d snapshot (latest.json page tables) not refreshed this run -- daily numbers + live checks only."
2026-08-04 14:20,2026-08-02,ok,ok,ok,ok,0,"Second pass same day: (1) re-verified checkout-gate.js on desktop -- F1 unchanged, confirmed new cart coupon/offer module (Apply Coupon, free-pendant claim, Call/Whatsapp/Chat) is sitewide not mobile-only. (2) Extended all 4 remaining page-insight reports (homepage, PLP, PDP, traffic-ads) 30-day embedded datasets to 3 Aug, matching cart-checkout. (3) Refreshed the 7-day deep-dive snapshot in latest.json (run-006, window 27 Jul-2 Aug) via background agent -- pulled fresh GA4 pages/funnel/traffic-quality, Clarity heatmap/rage-click/JS-errors, live cro_vitals/fold_analysis, and full Shopify order segmentation (213 orders). IMPORTANT DISCOVERY, independently verified via fresh GA4 pull: GA4 had retroactively corrected 1 Aug's bounce/engagement figures back to normal (mobile bounce 41.6%/engaged 58.4% vs 99.68%/0.3% recorded live on 8-03) -- corrected the stale rows in daily_device.csv and daily_pagetype.csv (11 rows) and all 5 page-insight embedded DATA arrays to match. Re-verified 3 Aug has NOT self-corrected (still ~99% bounce) -- the underlying GTM->GA4 tag defect is not resolved, only GA4's historical record for the earlier bad day revised itself after ~3 days. Documented this nuance in insights.html and action_plan.html (T22) so it isn't mistaken for the bug being fixed. Rebuilt interactive.html twice (data corrections + snapshot refresh)."
2026-08-04 15:40,2026-08-02,skipped,skipped,ok,skipped,0,"Third pass same day: user flagged heatmap/screenshot images were stuck on stale Playwright captures (29-31 Jul) despite 3 data refreshes since. Re-pulled fresh Clarity click data and regenerated heatmap-home-mobile/desktop/android/ios, heatmap-plp(eterna)-mobile/desktop/android, heatmap-pdp(corinthian)-mobile/desktop/android, and heatmap-cart-mobile/desktop (a first-ever success -- every prior cart heatmap attempt failed on the empty-cart state; this time Cart1/3 chrome + empty-cart messaging matched and rendered, revealing a real share of cart Clarity sessions land on an empty cart, not mid-checkout). Also re-ran overlay-audit on cart+home mobile. Found and documented 3 new nuances: (1) homepage popup is intermittent -- two Playwright visits minutes apart gave opposite results (heatmap capture: no popup; overlay-audit: 100% blocking popup) -- doesn't undercut F9/F2 but means single screenshots aren't proof of every-visit behaviour; (2) cro_fold_analysis (13,220px, reproduced twice) and cro_heatmap's full-page screenshot (26,440px) disagree by ~2x on reference PDP mobile doc height, traced to lazy-loaded sections cro_heatmap's slower scroll triggers that fold_analysis's settle-wait doesn't -- both numbers valid for different purposes, flagged so they aren't quoted interchangeably; (3) eterna-iOS and PDP-iOS heatmaps could NOT be refreshed (Clarity returned no/unmatchable rows for iOS on those 2 specific pages this window) -- kept old 31 Jul images with an explicit 'still dated' label rather than publish nothing or something wrong. Added F16 (cart empty-state click discovery) and F17 (measurement discrepancy) to latest.json findings. Updated insights.html, page-homepage.html, page-plp.html, page-pdp.html, page-cart-checkout.html with fresh images + narrative. Rebuilt interactive.html."
